Faction,VoiceId,EventId,Variant,FrequencyTier,Priority,CooldownSeconds,ConcurrencyGroup,InterruptPolicy,ContextDescription,TextRu,SpokenTextRu,Emotion,Pace,Intensity,ControlInstruction,CanonicalSource,CanonicalPreserved,Status,Notes
SU,EVA_SU_KONTUR,VEHICLE_READY,03,Frequent,3,2.0,CG_Production,Queue,Бронетехника вышла из цеха,Танковый экипаж готов к выполнению задачи.,Танковый экипаж готов к выполнению задачи.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=VEHICLE_READY;Variant=03
SU,EVA_SU_KONTUR,VEHICLE_READY,04,Frequent,3,2.0,CG_Production,Queue,Бронетехника вышла из цеха,Осадочный комплекс передан войскам.,Осадочный комплекс передан войскам.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=VEHICLE_READY;Variant=04
SU,EVA_SU_KONTUR,AIRCRAFT_READY,01,Frequent,3,2.0,CG_Production,Queue,Воздушное судно заправлено и готово,Авиация заправлена и заступила на дежурство.,Авиация заправлена и заступила на дежурство.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=AIRCRAFT_READY;Variant=01
SU,EVA_SU_KONTUR,AIRCRAFT_READY,02,Frequent,3,2.0,CG_Production,Queue,Воздушное судно заправлено и готово,Воздушная единица поднята по тревоге.,Воздушная единица поднята по тревоге.,Authoritative,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=AIRCRAFT_READY;Variant=02
SU,EVA_SU_KONTUR,AIRCRAFT_READY,03,Frequent,3,2.0,CG_Production,Queue,Воздушное судно заправлено и готово,Штурмовик готов к вылету.,Штурмовик готов к вылету.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=AIRCRAFT_READY;Variant=03
SU,EVA_SU_KONTUR,AIRCRAFT_READY,04,Frequent,3,2.0,CG_Production,Queue,Воздушное судно заправлено и готово,Дирижабль прошёл технический осмотр.,Дирижабль прошёл технический осмотр.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=AIRCRAFT_READY;Variant=04
SU,EVA_SU_KONTUR,NAVAL_UNIT_READY,01,Frequent,3,2.0,CG_Production,Queue,Корабль сошёл со слипа,Боевой корабль сошёл со слипа дока.,Боевой корабль сошёл со слипа дока.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=NAVAL_UNIT_READY;Variant=01
SU,EVA_SU_KONTUR,NAVAL_UNIT_READY,02,Frequent,3,2.0,CG_Production,Queue,Корабль сошёл со слипа,Подводная лодка вышла на боевой курс.,Подводная лодка вышла на боевой курс.,Authoritative,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=NAVAL_UNIT_READY;Variant=02
SU,EVA_SU_KONTUR,NAVAL_UNIT_READY,03,Frequent,3,2.0,CG_Production,Queue,Корабль сошёл со слипа,Морская единица вошла в состав флота.,Морская единица вошла в состав флота.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=NAVAL_UNIT_READY;Variant=03
SU,EVA_SU_KONTUR,NAVAL_UNIT_READY,04,Frequent,3,2.0,CG_Production,Queue,Корабль сошёл со слипа,Ракетный крейсер готов к стрельбе.,Ракетный крейсер готов к стрельбе.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=NAVAL_UNIT_READY;Variant=04
SU,EVA_SU_KONTUR,CONSTRUCTION_COMPLETE,01,Frequent,3,2.0,CG_Production,Queue,Объект возведён,Строительство объекта завершено.,Строительство объекта завершено.,Authoritative,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=CONSTRUCTION_COMPLETE;Variant=01
SU,EVA_SU_KONTUR,CONSTRUCTION_COMPLETE,02,Frequent,3,2.0,CG_Production,Queue,Объект возведён,Сооружение введено в эксплуатацию.,Сооружение введено в эксплуатацию.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=CONSTRUCTION_COMPLETE;Variant=02
SU,EVA_SU_KONTUR,CONSTRUCTION_COMPLETE,03,Frequent,3,2.0,CG_Production,Queue,Объект возведён,Производственная мощность подключена к сети.,Производственная мощность подключена к сети.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=CONSTRUCTION_COMPLETE;Variant=03
SU,EVA_SU_KONTUR,CONSTRUCTION_COMPLETE,04,Frequent,3,2.0,CG_Production,Queue,Объект возведён,Объект базы готов к работе.,Объект базы готов к работе.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=CONSTRUCTION_COMPLETE;Variant=04
SU,EVA_SU_KONTUR,INSUFFICIENT_FUNDS,01,Frequent,3,10.0,CG_Economy,DropIfBusy,Нехватка руды / средств,Недостаточно ресурсов. Казна пуста.,Недостаточно ресурсов. Казна пуста.,Restrained,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=INSUFFICIENT_FUNDS;Variant=01
SU,EVA_SU_KONTUR,INSUFFICIENT_FUNDS,02,Frequent,3,10.0,CG_Economy,DropIfBusy,Нехватка руды / средств,Требуются дополнительные средства.,Требуются дополнительные средства.,Restrained,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=INSUFFICIENT_FUNDS;Variant=02
SU,EVA_SU_KONTUR,INSUFFICIENT_FUNDS,03,Frequent,3,10.0,CG_Economy,DropIfBusy,Нехватка руды / средств,Фонды истощены. Доставьте руду.,Фонды истощены. Доставьте руду.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=INSUFFICIENT_FUNDS;Variant=03
SU,EVA_SU_KONTUR,INSUFFICIENT_FUNDS,04,Frequent,3,10.0,CG_Economy,DropIfBusy,Нехватка руды / средств,Нехватка бюджетирования. Операция отложена.,Нехватка бюджетирования. Операция отложена.,Restrained,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=INSUFFICIENT_FUNDS;Variant=04
SU,EVA_SU_KONTUR,BASE_UNDER_ATTACK,01,Frequent,2,5.0,CG_CombatAlert,InterruptImmediate,Атака на строения базы,Враг атакует наши производственные мощности.,Враг атакует наши производственные мощности.,Urgent,Fast,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Bible_v2,true,Approved,Faction=SU;Event=BASE_UNDER_ATTACK;Variant=01
SU,EVA_SU_KONTUR,BASE_UNDER_ATTACK,02,Frequent,2,5.0,CG_CombatAlert,InterruptImmediate,Атака на строения базы,Внимание! Промышленный сектор под огнём!,Внимание! Промышленный сектор под огнём!,Urgent,Fast,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=BASE_UNDER_ATTACK;Variant=02
SU,EVA_SU_KONTUR,BASE_UNDER_ATTACK,03,Frequent,2,5.0,CG_CombatAlert,InterruptImmediate,Атака на строения базы,Нарушен периметр базы. Организовать оборону!,Нарушен периметр базы. Организовать оборону!,Urgent,Fast,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=BASE_UNDER_ATTACK;Variant=03
SU,EVA_SU_KONTUR,BASE_UNDER_ATTACK,04,Frequent,2,5.0,CG_CombatAlert,InterruptImmediate,Атака на строения базы,Вражеский удар по главным объектам!,Вражеский удар по главным объектам!,Urgent,Fast,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=BASE_UNDER_ATTACK;Variant=04
SU,EVA_SU_KONTUR,HARVESTER_UNDER_ATTACK,01,Frequent,2,8.0,CG_CombatAlert,InterruptImmediate,Атака на рудную машину ГРМ-8 «Богатырь»,Горнорудная машина «Богатырь» под огнём!,Горнорудная машина Богатырь под огнём!,Urgent,Fast,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=HARVESTER_UNDER_ATTACK;Variant=01
SU,EVA_SU_KONTUR,HARVESTER_UNDER_ATTACK,02,Frequent,2,8.0,CG_CombatAlert,InterruptImmediate,Атака на рудную машину ГРМ-8 «Богатырь»,Наш добытчик атакован противником!,Наш добытчик атакован противником!,Urgent,Fast,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=HARVESTER_UNDER_ATTACK;Variant=02
SU,EVA_SU_KONTUR,HARVESTER_UNDER_ATTACK,03,Frequent,2,8.0,CG_CombatAlert,InterruptImmediate,Атака на рудную машину ГРМ-8 «Богатырь»,Угроза уничтожения рудного комбайна!,Угроза уничтожения рудного комбайна!,Urgent,Fast,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=HARVESTER_UNDER_ATTACK;Variant=03
SU,EVA_SU_KONTUR,HARVESTER_UNDER_ATTACK,04,Frequent,2,8.0,CG_CombatAlert,InterruptImmediate,Атака на рудную машину ГРМ-8 «Богатырь»,Защитите горнорудную технику!,Защитите горнорудную технику!,Urgent,Fast,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=HARVESTER_UNDER_ATTACK;Variant=04
SU,EVA_SU_KONTUR,POWER_LOW,01,Frequent,2,10.0,CG_Economy,InterruptImmediate,Дефицит электроэнергии,Энергосистема перегружена. Производство замедляется.,Энергосистема перегружена. Производство замедляется.,Alarmed,Commanding,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Bible_v2,true,Approved,Faction=SU;Event=POWER_LOW;Variant=01
SU,EVA_SU_KONTUR,POWER_LOW,02,Frequent,2,10.0,CG_Economy,InterruptImmediate,Дефицит электроэнергии,Критический дефицит энергии. Постройте теплоэлектростанцию.,Критический дефицит энергии. Постройте теплоэлектростанцию.,Alarmed,Commanding,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=POWER_LOW;Variant=02
SU,EVA_SU_KONTUR,POWER_LOW,03,Frequent,2,10.0,CG_Economy,InterruptImmediate,Дефицит электроэнергии,Энергосеть обесточена. Оборонительные системы отключены.,Энергосеть обесточена. Оборонительные системы отключены.,Alarmed,Commanding,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=POWER_LOW;Variant=03
SU,EVA_SU_KONTUR,POWER_LOW,04,Frequent,2,10.0,CG_Economy,InterruptImmediate,Дефицит электроэнергии,Нехватка питания. Заводы снижают мощность.,Нехватка питания. Заводы снижают мощность.,Alarmed,Commanding,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=POWER_LOW;Variant=04
SU,EVA_SU_KONTUR,COMMAND_CAP_REACHED,01,Frequent,3,10.0,CG_Economy,DropIfBusy,Превышен командный лимит,Достигнут предел командного лимита. Требуются казармы или штаб.,Достигнут предел командного лимита. Требуются казармы или штаб.,Restrained,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=COMMAND_CAP_REACHED;Variant=01
SU,EVA_SU_KONTUR,COMMAND_CAP_REACHED,02,Frequent,3,10.0,CG_Economy,DropIfBusy,Превышен командный лимит,Армейский лимит исчерпан. Расширьте инфраструктуру.,Армейский лимит исчерпан. Расширьте инфраструктуру.,Restrained,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=COMMAND_CAP_REACHED;Variant=02
SU,EVA_SU_KONTUR,COMMAND_CAP_REACHED,03,Frequent,3,10.0,CG_Economy,DropIfBusy,Превышен командный лимит,Сеть не может принять новые отряды.,Сеть не может принять новые отряды.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=COMMAND_CAP_REACHED;Variant=03
SU,EVA_SU_KONTUR,COMMAND_CAP_REACHED,04,Frequent,3,10.0,CG_Economy,DropIfBusy,Превышен командный лимит,Максимум лимита войск. Постройте казарму мобилизации.,Максимум лимита войск. Постройте казарму мобилизации.,Restrained,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=COMMAND_CAP_REACHED;Variant=04
SU,EVA_SU_KONTUR,STEALTH_UNIT_DETECTED,01,Frequent,2,6.0,CG_Intel,InterruptImmediate,Зафиксирован замаскированный враг,Радар засек маскирующегося противника!,Радар засек маскирующегося противника!,Urgent,Fast,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=STEALTH_UNIT_DETECTED;Variant=01
SU,EVA_SU_KONTUR,STEALTH_UNIT_DETECTED,02,Frequent,2,6.0,CG_Intel,InterruptImmediate,Зафиксирован замаскированный враг,Обнаружена стелс-единица врага!,Обнаружена стелс-единица врага!,Urgent,Fast,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=STEALTH_UNIT_DETECTED;Variant=02
SU,EVA_SU_KONTUR,STEALTH_UNIT_DETECTED,03,Frequent,2,6.0,CG_Intel,InterruptImmediate,Зафиксирован замаскированный враг,Контакт с замаскированной целью.,Контакт с замаскированной целью.,Authoritative,Fast,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=STEALTH_UNIT_DETECTED;Variant=03
SU,EVA_SU_KONTUR,STEALTH_UNIT_DETECTED,04,Frequent,2,6.0,CG_Intel,InterruptImmediate,Зафиксирован замаскированный враг,Вражеский диверсант обнаружен на радаре.,Вражеский диверсант обнаружен на радаре.,Urgent,Fast,High,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=STEALTH_UNIT_DETECTED;Variant=04
SU,EVA_SU_KONTUR,MATCH_START,01,Rare,1,0.0,CG_MatchFlow,NeverInterrupt,Начало операции,Командование развёрнуто. Промышленность ждёт приказа.,Командование развёрнуто. Промышленность ждёт приказа.,Authoritative,Commanding,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Bible_v2,true,Approved,Faction=SU;Event=MATCH_START;Variant=01
SU,EVA_SU_KONTUR,MATCH_START,02,Rare,1,0.0,CG_MatchFlow,NeverInterrupt,Начало операции,Красный штаб подключен. Приступить к выполнению директивы.,Красный штаб подключен. Приступить к выполнению директивы.,Authoritative,Commanding,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=MATCH_START;Variant=02
SU,EVA_SU_KONTUR,MATCH_VICTORY,01,Rare,1,0.0,CG_MatchFlow,NeverInterrupt,Победа,Сопротивление подавлено. Территория переходит под наш контроль.,Сопротивление подавлено. Территория переходит под наш контроль.,Authoritative,Commanding,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Bible_v2,true,Approved,Faction=SU;Event=MATCH_VICTORY;Variant=01
SU,EVA_SU_KONTUR,MATCH_VICTORY,02,Rare,1,0.0,CG_MatchFlow,NeverInterrupt,Победа,Враг разгромлен. Полная победа Советского Союза!,Враг разгромлен. Полная победа Советского Союза!,Authoritative,Commanding,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=MATCH_VICTORY;Variant=02
SU,EVA_SU_KONTUR,MATCH_DEFEAT,01,Rare,1,0.0,CG_MatchFlow,NeverInterrupt,Поражение,Командная сеть потеряна. Организованное сопротивление прекращено.,Командная сеть потеряна. Организованное сопротивление прекращено.,Restrained,Measured,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Bible_v2,true,Approved,Faction=SU;Event=MATCH_DEFEAT;Variant=01
SU,EVA_SU_KONTUR,MATCH_DEFEAT,02,Rare,1,0.0,CG_MatchFlow,NeverInterrupt,Поражение,Связь со штабом прервана. База уничтожена.,Связь со штабом прервана. База уничтожена.,Restrained,Measured,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=MATCH_DEFEAT;Variant=02
SU,EVA_SU_KONTUR,COMMAND_CENTER_DESTROYED,01,Rare,1,0.0,CG_MatchFlow,InterruptImmediate,Уничтожение Красного штаба,Красный штаб уничтожен! Связь нарушена!,Красный штаб уничтожен! Связь нарушена!,Urgent,Fast,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=COMMAND_CENTER_DESTROYED;Variant=01
SU,EVA_SU_KONTUR,COMMAND_CENTER_DESTROYED,02,Rare,1,0.0,CG_MatchFlow,InterruptImmediate,Уничтожение Красного штаба,Главный командный узел разрушен противником!,Главный командный узел разрушен противником!,Urgent,Fast,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=COMMAND_CENTER_DESTROYED;Variant=02
SU,EVA_SU_KONTUR,MOBILE_COMMAND_UNIT_DESTROYED,01,Rare,1,0.0,CG_MatchFlow,InterruptImmediate,Потеря МКМ,Мобильный командный модуль уничтожен!,Мобильный командный модуль уничтожен!,Urgent,Fast,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=MOBILE_COMMAND_UNIT_DESTROYED;Variant=01
SU,EVA_SU_KONTUR,MOBILE_COMMAND_UNIT_DESTROYED,02,Rare,1,0.0,CG_MatchFlow,InterruptImmediate,Потеря МКМ,Потерян МКМ. Расширение базы невозможно.,Потерян мобильный командный модуль. Расширение базы невозможно.,Urgent,Fast,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=MOBILE_COMMAND_UNIT_DESTROYED;Variant=02
SU,EVA_SU_KONTUR,HERO_LOST,01,Rare,1,0.0,CG_MatchFlow,InterruptImmediate,Гибель Героя Майора Елены Морозовой,Майор Морозова пала в бою! Отомстить за героя!,Майор Морозова пала в бою! Отомстить за героя!,Urgent,Fast,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=HERO_LOST;Variant=01
SU,EVA_SU_KONTUR,HERO_LOST,02,Rare,1,0.0,CG_MatchFlow,InterruptImmediate,Гибель Героя Майора Елены Морозовой,Связь с майором Морозовой прервана. Герой погиб.,Связь с майором Морозовой прервана. Герой погиб.,Restrained,Measured,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=HERO_LOST;Variant=02
SU,EVA_SU_KONTUR,OWN_SUPERWEAPON_FIRED,01,Rare,1,0.0,CG_Superweapon,InterruptImmediate,Пуск ракеты «Каратель»,Ракетный комплекс «Каратель» произвёл запуск!,Ракетный комплекс Каратель произвёл запуск!,Authoritative,Commanding,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=OWN_SUPERWEAPON_FIRED;Variant=01
SU,EVA_SU_KONTUR,OWN_SUPERWEAPON_FIRED,02,Rare,1,0.0,CG_Superweapon,InterruptImmediate,Пуск ракеты «Каратель»,Стратегический ракетный удар нанесён по цели!,Стратегический ракетный удар нанесён по цели!,Authoritative,Commanding,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=OWN_SUPERWEAPON_FIRED;Variant=02
SU,EVA_SU_KONTUR,ENEMY_SUPERWEAPON_FIRED,01,Rare,1,0.0,CG_Superweapon,InterruptImmediate,Пуск супероружия врага,Зафиксирована подготовка стратегического удара.,Зафиксирована подготовка стратегического удара.,Urgent,Fast,Critical,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Bible_v2,true,Approved,Faction=SU;Event=ENEMY_SUPERWEAPON_FIRED;Variant=01
